replicate,variant,marker,timepoint,media,dilution,spread,count_white,count_blue,hg_kept,hg_lost
c,B03,Gm,2,KB,5,40,59,138,4,0
c,B09,Sm,2,KB,5,40,104,72,8,0
c,B10,Sm,2,KB,5,40,93,94,5,0
c,C01,Sm,2,KB,5,40,99,111,3,0
c,C03,Gm,2,KB,5,40,51,91,12,0
c,C10,Sm,2,KB,5,40,153,26,6,0
c,C10,Sm,2,Sm50,4,40,0,309,0,0
c,C11,Gm,2,KB,5,40,74,108,7,0
a,A01,Sm,3,KB,5,40,96,16,18,0
a,A01,Sm,3,Sm50,4,40,0,132,0,0
a,A04,Gm,3,KB,5,40,58,67,8,0
a,A11,Gm,3,Gm3,4,40,119,0,0,0
a,A11,Gm,3,KB,5,40,17,209,5,0
a,B01,Sm,3,KB,5,40,103,58,15,0
a,B02,Sm,3,KB,5,40,80,87,4,0
a,B03,Gm,3,KB,5,40,72,129,3,2
a,B09,Sm,3,KB,5,40,112,119,20,0
a,B10,Sm,3,KB,5,40,83,110,14,0
a,C01,Sm,3,KB,5,40,45,114,2,0
a,C03,Gm,3,KB,5,40,52,91,5,0
a,C10,Sm,3,KB,5,40,176,15,3,0
a,C10,Sm,3,Sm50,4,40,0,135,0,1
a,C11,Gm,3,KB,5,40,71,91,12,0
b,A01,Sm,3,KB,5,40,160,15,9,0
b,A01,Sm,3,Sm50,4,40,0,86,0,0
b,A04,Gm,3,KB,5,40,47,125,6,0
b,A11,Gm,3,Gm3,4,40,88,0,0,0
b,A11,Gm,3,KB,5,40,6,142,4,0
b,B01,Sm,3,KB,5,40,61,37,4,0
b,B02,Sm,3,KB,5,40,87,67,8,0
b,B03,Gm,3,KB,5,40,45,68,2,0
b,B09,Sm,3,KB,5,40,86,49,4,0
b,B10,Sm,3,KB,5,40,75,57,2,0
b,C01,Sm,3,KB,5,40,72,86,8,0
b,C03,Gm,3,KB,5,40,47,82,3,0
b,C10,Sm,3,KB,5,40,108,30,5,0
b,C10,Sm,3,Sm50,4,40,0,320,0,0
b,C11,Gm,3,KB,5,40,47,102,13,0
c,A01,Sm,3,KB,5,40,135,12,19,0
c,A01,Sm,3,Sm50,4,40,0,77,0,0
c,A04,Gm,3,KB,5,40,61,127,9,0
c,A11,Gm,3,Gm3,4,40,72,0,0,0
c,A11,Gm,3,KB,5,40,6,134,9,0
c,B01,Sm,3,KB,5,40,93,58,15,0
c,B02,Sm,3,KB,5,40,93,67,9,0
c,B03,Gm,3,KB,5,40,42,94,6,0
c,B09,Sm,3,KB,5,40,85,76,7,0
c,B10,Sm,3,KB,5,40,92,85,6,0
c,C01,Sm,3,KB,5,40,83,96,8,0
c,C03,Gm,3,KB,5,40,45,88,14,0
c,C10,Sm,3,KB,5,40,123,12,1,0
c,C10,Sm,3,Sm50,4,40,0,140,0,0
c,C11,Gm,3,KB,5,40,56,111,7,0
a,A01,Sm,4,KB,5,40,101,10,13,NA
a,A01,Sm,4,Sm50,4,40,0,70,NA,1
a,A04,Gm,4,KB,5,40,48,72,18,NA
a,A11,Gm,4,Gm3,4,40,41,NA,NA,0
a,A11,Gm,4,KB,5,40,6,129,0,NA
a,B01,Sm,4,KB,5,40,109,56,18,NA
a,B02,Sm,4,KB,5,40,97,64,4,NA
a,B03,Gm,4,KB,5,40,41,129,2,NA
a,B09,Sm,4,KB,5,40,71,61,12,NA
a,B10,Sm,4,KB,5,40,67,80,10,NA
a,C01,Sm,4,KB,5,40,46,123,10,NA
a,C03,Gm,4,KB,5,40,16,105,2,NA
a,C10,Sm,4,KB,5,40,192,8,0,NA
a,C10,Sm,4,Sm50,4,40,0,64,NA,0
a,C11,Gm,4,KB,5,40,32,103,10,NA
b,A01,Sm,4,KB,5,40,74,3,6,NA
b,A01,Sm,4,Sm50,4,40,0,24,NA,2
b,A04,Gm,4,KB,5,40,34,96,11,NA
b,A11,Gm,4,Gm3,4,40,0,53,NA,0
b,A11,Gm,4,KB,5,40,4,184,7,NA
b,B01,Sm,4,KB,5,40,56,40,6,NA
b,B02,Sm,4,KB,5,40,104,71,15,NA
b,B03,Gm,4,KB,5,40,62,128,15,NA
b,B09,Sm,4,KB,5,40,53,47,5,NA
b,B10,Sm,4,KB,5,40,97,65,9,NA
b,C01,Sm,4,KB,5,40,35,82,7,NA
b,C03,Gm,4,KB,5,40,23,60,4,NA
b,C10,Sm,4,KB,5,40,107,15,6,NA
b,C10,Sm,4,Sm50,4,40,0,111,NA,0
b,C11,Gm,4,KB,5,40,44,113,13,NA
c,A01,Sm,4,KB,5,40,77,3,5,NA
c,A01,Sm,4,Sm50,4,40,0,25,NA,0
c,A04,Gm,4,KB,5,40,47,104,4,NA
c,A11,Gm,4,Gm3,4,40,26,0,NA,0
c,A11,Gm,4,KB,5,40,2,119,7,NA
c,B01,Sm,4,KB,5,40,98,57,7,NA
c,B02,Sm,4,KB,5,40,125,65,10,NA
c,B03,Gm,4,KB,5,40,37,85,6,NA
c,B09,Sm,4,KB,5,40,115,70,13,NA
c,B10,Sm,4,KB,5,40,104,66,12,NA
c,C01,Sm,4,KB,5,40,60,139,8,NA
c,C03,Gm,4,KB,5,40,37,116,7,NA
c,C10,Sm,4,KB,5,40,161,9,0,NA
c,C10,Sm,4,Sm50,4,40,0,68,NA,0
c,C11,Gm,4,KB,5,40,31,114,3,NA
a,A01,Sm,5,KB,5,40,148,4,18,0
a,A01,Sm,5,Sm50,4,40,0,22,0,1
a,A04,Gm,5,KB,5,40,53,115,24,0
a,A11,Gm,5,Gm3,4,40,27,0,0,1
a,A11,Gm,5,KB,5,40,3,205,6,1
a,B01,Sm,5,KB,5,40,129,67,24,0
a,B02,Sm,5,KB,5,40,109,92,6,0
a,B03,Gm,5,KB,5,40,63,123,21,0
a,B09,Sm,5,KB,5,40,109,88,14,0
a,B10,Sm,5,KB,5,40,68,82,16,0
a,C01,Sm,5,KB,5,40,44,131,14,0
a,C03,Gm,5,Gm3,4,40,305,0,0,0
a,C03,Gm,5,KB,5,40,31,163,17,0
a,C10,Sm,5,KB,5,40,181,3,2,0
a,C10,Sm,5,Sm50,4,40,0,32,0,0
a,C11,Gm,5,KB,5,40,30,140,16,0
b,A01,Sm,5,KB,5,40,171,3,16,0
b,A01,Sm,5,Sm50,3,40,0,242,0,10
b,A04,Gm,5,Gm3,4,40,511,0,0,0
b,A04,Gm,5,KB,5,40,0,133,11,0
b,A11,Gm,5,Gm3,4,40,3,0,0,0
b,A11,Gm,5,KB,5,40,1,108,1,0
b,B01,Sm,5,KB,5,40,85,47,4,0
b,B02,Sm,5,KB,5,40,120,69,23,0
b,B03,Gm,5,KB,5,40,40,158,24,0
b,B09,Sm,5,KB,5,40,107,76,33,0
b,B10,Sm,5,KB,5,40,120,79,11,0
b,C01,Sm,5,KB,5,40,62,94,12,0
b,C03,Gm,5,Gm3,4,40,213,0,0,0
b,C03,Gm,5,KB,5,40,29,110,8,0
b,C10,Sm,5,KB,5,40,211,10,5,0
b,C10,Sm,5,Sm50,4,40,0,130,0,0
b,C11,Gm,5,KB,5,40,42,164,23,0
c,A01,Sm,5,KB,5,40,148,0,11,0
c,A01,Sm,5,Sm50,3,40,0,140,0,0
c,A04,Gm,5,KB,5,40,24,118,7,0
c,A11,Gm,5,Gm3,3,40,122,0,0,0
c,A11,Gm,5,KB,5,40,0,180,5,0
c,B01,Sm,5,KB,5,40,95,33,7,0
c,B02,Sm,5,KB,5,40,95,49,2,0
c,B03,Gm,5,KB,5,40,39,121,5,0
c,B09,Sm,5,KB,5,40,69,57,10,0
c,B10,Sm,5,KB,5,40,89,55,13,0
c,C01,Sm,5,KB,5,40,67,98,14,0
c,C03,Gm,5,KB,5,40,36,127,19,0
c,C10,Sm,5,KB,5,40,158,1,5,0
c,C10,Sm,5,Sm50,4,40,0,42,0,0
c,C11,Gm,5,KB,5,40,33,129,5,0
