pQBR103.dPFLU4242.logFC,pQBR103.dPFLU4242.logCPM,pQBR103.dPFLU4242.F,pQBR103.dPFLU4242.PValue,pQBR103.dPFLU4242.FDR,pQBR103.dgacS.logFC,pQBR103.dgacS.logCPM,pQBR103.dgacS.F,pQBR103.dgacS.PValue,pQBR103.dgacS.FDR
pQBR0001,0.0623458973427563,14.185544871467,0.309594772872558,0.587461278955086,0.754856159517557,0.347851028595886,14.185544871467,9.61782498816589,0.00850317494426541,0.046718593371941
pQBR0002,0.124610859980586,14.2867247098092,1.17309771561545,0.298615366988409,0.502599103593167,0.359546753764868,14.2867247098092,9.7454601566061,0.00817522234520494,0.0457133529077338
pQBR0003,-0.0903434123177415,10.8390969990817,0.298282590652639,0.594290561187804,0.757839003601814,-0.408488568277276,10.8390969990817,6.04393566642059,0.0288968030695615,0.107074975715119
pQBR0004,0.567551709691863,12.1941155797357,11.7131381592881,0.00459497876312854,0.0322999977761095,-0.171422880832431,12.1941155797357,1.06707579231408,0.320604348368403,0.505771876303949
pQBR0005,0.534778582123132,13.016981173691,13.0385937031979,0.0032069879231291,0.0240384133509908,-0.228622105934074,13.016981173691,2.38390614276509,0.146784830807201,0.334110233932581
pQBR0006,0.681499504863323,13.6242490494257,31.6277215308403,8.561838023387e-05,0.00165603018352718,-0.554549618498649,13.6242490494257,20.9279254635159,0.000532757978362635,0.0106107630690558
pQBR0007,0.735159215556459,12.5973349443325,39.6675389538198,2.86423619693385e-05,0.000956140061448937,-0.626479901447096,12.5973349443325,28.6494937967644,0.000135419163977949,0.00575911891905454
pQBR0008,0.818314934731555,11.8197807190303,32.7880272177769,7.22275713329274e-05,0.00156930814077906,-0.50360117504226,11.8197807190303,12.3437135067847,0.0038622614706096,0.0284024766607906
pQBR0009,0.804785016689023,11.646763038549,33.7533886998095,6.29088420024371e-05,0.00155721411156395,-0.571841073961339,11.646763038549,16.8686221860076,0.00125837631073972,0.0158359734598466
pQBR0010,1.02507772690197,10.9204358375457,36.0821714412859,4.56151589919981e-05,0.00121133588878751,-0.353641671262222,10.9204358375457,4.25283168897,0.059947707919084,0.179864553728049
pQBR0011,0.692675119156242,13.0656846296939,16.6635301772174,0.00131853785433597,0.0126052218874519,0.000651355360438923,13.0656846296939,1.48180757322164e-05,0.996987562604583,0.996987562604583
pQBR0012,0.436327046031289,12.4139278012723,14.88955642847,0.00200510056777962,0.0174261467527028,-0.40609182588473,12.4139278012723,12.8256975517599,0.00339295743528215,0.0270305609010812
pQBR0013,-0.783877195655326,5.33495929609525,9.14806387469394,0.00984986262504844,0.0529015093794736,-0.687526087612442,5.33495929609525,7.20840712410799,0.0188452446979503,0.081302398036768
pQBR0014,0.461679970441397,10.5560628099163,10.2765726391463,0.0069597150504861,0.0415842974266544,-0.75690826391297,10.5560628099163,26.6436673751356,0.000188072412447561,0.00642132951070958
pQBR0015,0.663691698468719,12.5603536402197,18.0736040235705,0.000962936870202371,0.0102285294212607,-0.438607979383831,12.5603536402197,7.87453788050359,0.0149586193033214,0.0705585431797636
pQBR0016,0.448006509982407,10.4257525161329,11.3863541208529,0.00503774069874421,0.0329868500547909,-0.751888886924012,10.4257525161329,30.8148806634896,9.67181403930646e-05,0.00575911891905454
pQBR0017,0.41162904049413,12.1398286124845,7.88911613931908,0.0148846965279419,0.0671215560410964,-0.720492671002721,12.1398286124845,23.7883634341354,0.000309722637930434,0.00779196952267092
pQBR0018,0.480711173692907,12.5049795399241,14.4692597354422,0.00222390706079268,0.018982635268909,-0.601007920432295,12.5049795399241,22.390302742362,0.000401411368053559,0.00834237538824354
pQBR0019,0.338708074040875,12.4486246417126,8.57667242758606,0.0118377519549278,0.0599562630133186,-0.620445685601377,12.4486246417126,28.4237549742326,0.000140401454003779,0.00575911891905454
pQBR0020,0.252262449790918,11.7358086887513,3.14103254606325,0.0999703683300735,0.255539230276872,-0.71900471896133,11.7358086887513,25.0017801031796,0.000249356975619013,0.00682860718899433
pQBR0021,0.202332864261722,10.6577427368971,3.26645771737926,0.0941002508006507,0.244456086319082,0.228912898363441,10.6577427368971,4.17459176511693,0.0620395624850963,0.184162340553372
pQBR0022,0.0884120846418212,11.0052477875178,0.626345601662499,0.443022519104265,0.634026239915684,0.226054509444317,11.0052477875178,4.09594160225787,0.064231100820229,0.188358688294905
pQBR0023,0.209220726834665,8.73138386295761,1.7012109721287,0.214944821615854,0.414288809404752,0.197521126333465,8.73138386295761,1.50717934759033,0.241523337162247,0.424441746924831
pQBR0024,0.141418896316352,10.1338294636534,1.78152716081656,0.205065136261635,0.40337915692618,-0.0287863610416946,10.1338294636534,0.0732813626692367,0.790904947493222,0.872211161699512
pQBR0025,0.117281935067186,9.20425953294348,0.746798312562899,0.403290772377196,0.598673879491614,-0.206226680803393,9.20425953294348,2.25675732454413,0.157135127829451,0.349351586523152
pQBR0026,0.0876758349163353,11.7996204882875,0.751704017110254,0.401792929011831,0.598673879491614,0.340222451014411,11.7996204882875,11.3100546200109,0.00514814946044589,0.0361884623837226
pQBR0027,0.764679708204305,8.44212486420303,18.7983754609047,0.00082414808229274,0.00916146007757976,0.277442138544267,8.44212486420303,2.40116839645912,0.14544628102715,0.332647475267835
pQBR0028,0.729695993363926,10.4167664534072,30.34153261235,0.000103946367701525,0.00191101399082034,0.198626917648208,10.4167664534072,2.23246774614346,0.159215567827328,0.350714476596602
pQBR0029,1.42333321682103,9.62874497657403,90.6316729140126,3.41031401619338e-07,8.15065049870218e-05,0.529024269192445,9.62874497657403,12.3590872161987,0.00384617194156742,0.0284024766607906
pQBR0030,1.54329354815379,8.84141436862088,65.0218662008095,2.17246496120876e-06,0.000173073041909631,0.733963180458819,8.84141436862088,14.261582467159,0.00234218649610062,0.023223483292477
pQBR0031,1.43934607773935,9.74606814405644,55.3945613792512,5.14352991838376e-06,0.000257714608434645,0.590295364522247,9.74606814405644,9.2279340707338,0.00960424805408056,0.0509457841157858
pQBR0032,1.07901015127924,10.6897744258152,71.2508204027847,1.31531907460205e-06,0.000153875158317386,0.412546420110446,10.6897744258152,10.4428743057661,0.00662336165933938,0.0422128916421896
pQBR0033,1.60412918664821,9.70656905822195,72.1842151239818,1.22403176900096e-06,0.000153875158317386,0.825266282772498,9.70656905822195,19.0067837834839,0.000788631005551458,0.0129988145052964
pQBR0034,1.13464087888028,10.2944391348137,52.2410729913235,7.00897470638155e-06,0.000257714608434645,0.575703159375574,10.2944391348137,13.4350151121537,0.0028913338202,0.02467959939385
pQBR0035,1.28111994023638,8.01886240206118,52.44735220312,6.86535116859167e-06,0.000257714608434645,0.65405668197728,8.01886240206118,13.13769617672,0.00312447534378068,0.0262017406022309
pQBR0036,0.479344188518592,10.7158474640049,13.795159496926,0.00263547542453126,0.0213518178462024,0.217043554300539,10.7158474640049,2.81870767674822,0.117239236847969,0.285920179659843
pQBR0037,0.432248598520022,10.292195179188,18.1822015062532,0.000940509157089732,0.010217349479293,0.141521820657933,10.292195179188,1.93255413415554,0.188024463962136,0.387670503229992
pQBR0038,0.234702166451212,10.4041940464548,5.12239088633483,0.0415459529954254,0.14013424648098,0.14494200491778,10.4041940464548,1.94247996092767,0.186969411249356,0.387670503229992
pQBR0039,0.251550001051848,9.43307214388898,5.8495327967655,0.0311357285533798,0.114212261138576,0.0678739811268296,9.43307214388898,0.421017194981864,0.527824472845018,0.689344530109067
pQBR0040,0.455083736176177,10.2035241111112,12.0266519003961,0.00421219500368051,0.0300511822650639,0.520869250875825,10.2035241111112,15.7129669441501,0.00164482670576888,0.0174717147857228
pQBR0041,0.488664650611132,11.8356630053134,12.6587923304948,0.00354754838567779,0.0256928504296058,0.48552886361025,11.8356630053134,12.4896966330147,0.00371257836369545,0.0284024766607906
pQBR0042,0.236019424064129,11.0777572600374,3.51382458262592,0.0837030855459223,0.223519971457826,0.218321443986875,11.0777572600374,3.00310563093516,0.10695002436734,0.2706748833049
