pQBR57.dPFLU4242.c.logFC,pQBR57.dPFLU4242.c.logCPM,pQBR57.dPFLU4242.c.F,pQBR57.dPFLU4242.c.PValue,pQBR57.dPFLU4242.c.FDR,pQBR57.PQBR57_0059_V100A.c.logFC,pQBR57.PQBR57_0059_V100A.c.logCPM,pQBR57.PQBR57_0059_V100A.c.F,pQBR57.PQBR57_0059_V100A.c.PValue,pQBR57.PQBR57_0059_V100A.c.FDR,pQBR57.dgacS.c.logFC,pQBR57.dgacS.c.logCPM,pQBR57.dgacS.c.F,pQBR57.dgacS.c.PValue,pQBR57.dgacS.c.FDR,pQBR103.dPFLU4242.c.logFC,pQBR103.dPFLU4242.c.logCPM,pQBR103.dPFLU4242.c.F,pQBR103.dPFLU4242.c.PValue,pQBR103.dPFLU4242.c.FDR,pQBR103.dgacS.c.logFC,pQBR103.dgacS.c.logCPM,pQBR103.dgacS.c.F,pQBR103.dgacS.c.PValue,pQBR103.dgacS.c.FDR
PFLU_0001,-0.378876809321293,8.45134468877206,10.0628245558704,0.00396884364538062,0.0484345815482191,-0.179762338716297,8.45134468877206,2.26930959246949,0.144455763818732,0.648825149520888,-0.110196363997329,8.45134468877206,0.85457499407422,0.364073911650668,0.6463766251766,0.0485750251034698,8.45134468877206,0.165794114367886,0.687332697488204,0.870660842225862,0.0718560030199736,8.45134468877206,0.362929860399611,0.552293934418975,0.689226314853432
PFLU_0002,-0.0700418091692925,9.59017359215297,0.239507824920848,0.628816358767699,0.816611062003943,-0.124465996396492,9.59017359215297,0.755841595807688,0.39288034729933,0.815822413697374,-0.0762980449110503,9.59017359215297,0.284304006436644,0.598589352522895,0.805639030156152,-0.0884878223254035,9.59017359215297,0.382190028076822,0.542009467259992,0.79126255276132,-0.163953777282821,9.59017359215297,1.31172727354815,0.262897723110112,0.416519960020299
PFLU_0003,-0.214016826603693,7.99932749549444,2.66072535333861,0.115353630688724,0.327615322005696,-0.149825032654035,7.99932749549444,1.30324467680264,0.264408122878687,0.74758358383623,-0.0411860471981158,7.99932749549444,0.0987757544429879,0.755904176085571,0.894557164463449,0.0024201169472812,7.99932749549444,0.000340452203668686,0.985424848594864,0.993863150089939,-0.0260424308278563,7.99932749549444,0.0394401924702708,0.84418079260787,0.907351832025506
PFLU_0004,-0.418933987883012,9.82863724072089,8.40030887861937,0.00768518153251788,0.0716443222972903,-0.261042147439713,9.82863724072089,3.26792236036028,0.0826605429001891,0.568013928983913,-0.0796419071283856,9.82863724072089,0.304773539474365,0.58579328249203,0.798570052080255,0.179912318478969,9.82863724072089,1.55328596596348,0.224170924456429,0.521695327219947,0.278497908252161,9.82863724072089,3.71932252902407,0.0651826341069309,0.152507164185823
PFLU_0005,-0.0996277561311933,6.82213869197116,0.70581386928205,0.408777661064273,0.653977627277236,0.0315455286321351,6.82213869197116,0.0706456137652852,0.792572574713885,0.960085623630432,-0.0736966039119515,6.82213869197116,0.387328308475265,0.539326686375588,0.77296053931999,-0.0175435087777043,6.82213869197116,0.021886182549912,0.883573672257948,0.956500984545415,-0.288463999699149,6.82213869197116,5.90270130747918,0.0226140811883579,0.0699812528209351
PFLU_0006,-0.128431353459324,3.91371776158415,0.506566412366733,0.483199638470325,0.71085575068911,-0.0790559346010458,3.91371776158415,0.188755284645419,0.667671018337297,0.926490045239721,0.0586330987849371,3.91371776158415,0.107762647251668,0.745431824100515,0.888273575906098,-0.233164860940607,3.91371776158415,1.66023768316603,0.209335473260923,0.500925071935626,-0.19208924502876,3.91371776158415,1.14056747265121,0.295708305422848,0.452026493701036
PFLU_0007,-0.00414508273935077,4.62539390925147,0.000755271015091865,0.978292730970194,0.993381641262583,-0.0977423804133602,4.62539390925147,0.413663529767319,0.525955306955381,0.880179256226268,-0.0913678976473421,4.62539390925147,0.370064615975542,0.54844117433665,0.776947335979921,-0.299705803489288,4.62539390925147,3.94508373167137,0.0580441850830671,0.247338788678858,-0.524894091321779,4.62539390925147,12.0744426454188,0.00187502698154878,0.0104465788972003
PFLU_0008,-0.482509696909629,6.65397204000842,15.6516833585381,0.000552071890407137,0.0157060452299886,-0.169333182893427,6.65397204000842,1.93337590884088,0.176610487749903,0.676718746269889,-0.232822334714574,6.65397204000842,3.67374470635162,0.0667415707084338,0.24437822211581,0.1259585906231,6.65397204000842,1.07171538226622,0.310441050327154,0.612868704450758,-0.0127106718598805,6.65397204000842,0.0109157980167346,0.917620818464343,0.953063315685452
PFLU_0009,-0.336670570093717,6.70870486919574,6.95816551310586,0.014128207717304,0.0988135573007162,-0.247247830920991,6.70870486919574,3.74611329496556,0.0642855801542182,0.524971695265875,-0.156022944838642,6.70870486919574,1.50304653391144,0.231594552963786,0.511000495467867,0.216374681549598,6.70870486919574,2.86917635937621,0.102680711155228,0.341755231809083,0.34927111803781,6.70870486919574,7.47908463689315,0.0112913327693653,0.0418468588286923
PFLU_0010,-0.235629812746682,8.23015050329962,1.94575339795874,0.175281539500952,0.421836120196611,-0.341544883457772,8.23015050329962,4.07814877738776,0.0542526719031484,0.506020187162445,-0.188176864847491,8.23015050329962,1.24293113761063,0.275480131746539,0.561828319878988,0.160552097326921,8.23015050329962,0.90194686102087,0.351326002586047,0.65246257623123,0.481470731675254,8.23015050329962,8.0882854926187,0.0087409350697604,0.0343856824487769
