AR01,AR02,AR03,AR04,AR05,AR06,AR07,AR08,AR09,AR10,BR01,BR02,BR03,BR04,BR05,BR06,BR07,BR08,BR09,BR10,CR01,CR02,CR03,CR04,CR05,CR06,CR07,CR08,CR09,CR10
PFLU_0001,246.31931805885,218.972633003142,261.367862773609,189.819165407936,207.44569330282,212.603003571422,218.816997986736,232.648227615345,272.994563902537,223.287137132244,222.171557616562,210.835853545837,233.320238583998,224.742235449263,222.529970315258,242.26719260732,247.805443172565,236.445846267146,249.85690071368,273.466203714326,206.465617577927,222.983425185177,307.465922364838,202.446002372598,242.722243208689,240.785723554719,241.579294878615,227.533774840773,220.432885129844,210.200569686631
PFLU_0002,801.290681146379,706.398717004581,732.166007301956,600.821324903197,667.121129070548,645.236448749686,698.509946494115,645.448863036341,827.883946197664,672.392361061579,663.893060939339,657.388810434845,705.594605113447,701.082560266584,672.946517244206,759.513428264438,735.670249703187,667.52740426563,640.462752500121,742.633035600021,611.477387459529,712.768479663248,806.608202150329,836.32363897017,847.12765403939,652.287321735571,624.796512755056,708.828210364383,660.577290957146,537.033442594021
PFLU_0003,247.749345786529,223.183059211093,257.566595957608,200.650486924751,221.981635420909,228.425426231021,221.633974481905,209.191950312284,279.915072525963,224.864199281719,201.039605006877,203.781085993273,231.54652544467,210.657235846422,222.130514541029,257.352184101377,255.417173796736,219.386385242708,237.152857913742,273.522109332915,190.925258716409,228.899630870928,277.373163110696,249.632433985836,269.145975002266,228.661369502128,213.878067187355,234.39936305021,227.970027936283,202.005115448923
PFLU_0004,380.955805335007,327.206795172171,424.127730923573,283.279913525031,302.109813910396,332.149870901753,346.116202891513,331.205097664979,449.791628589581,370.231406585921,333.199797065228,328.852607153706,405.826497287356,328.720592655369,317.283357428245,422.793540831776,401.469291604193,353.422170086312,388.367433227239,472.477716495009,322.15436073938,392.015129180422,506.876599400836,388.027109800953,384.461234917334,382.186717618133,368.005863553679,435.037698261972,426.948122596354,374.881094221622
PFLU_0005,196.353174276149,140.405024827568,159.241601791529,152.696944750645,144.613640621655,151.747527904725,141.049891423834,140.848234769088,165.426825137642,127.9128527749,166.864410664818,170.18679176994,153.224619180663,164.290207449158,165.223184085926,167.297169764286,191.353770210318,141.838142285262,149.451724597157,140.84086041846,159.726219644421,166.601768542566,171.401975953127,134.651936580109,181.212583092508,165.872789114643,162.088954490706,139.34613029661,145.047569880966,133.232470471157
PFLU_0006,16.1084563543741,12.1313382705783,16.5702815420735,15.6447649109187,16.0956002256754,16.1249392807634,15.2558019706637,14.4328774822209,18.349390080834,15.8753134743098,15.4374191291906,18.5233326040446,16.3767631724953,14.5254242468637,17.9993341624201,16.7975629772958,19.5801144441831,14.3486200436296,17.3818956584972,17.9932995102185,13.1751027497296,14.3264423741771,16.3036707783931,14.8270213714814,18.0153365393734,11.3719611497678,11.8882934234197,16.0270724630603,15.5918211905077,11.398992212095
PFLU_0007,11.2015775933235,11.235999070465,10.8138409995149,10.4967452291569,10.9783641670848,10.4798416921498,9.67735226114942,10.347533320757,12.1748485280412,10.4600730534142,11.5385192882738,13.9777146683316,10.7346317507383,10.6523714821636,13.6794379082098,11.434047808816,11.8751827876407,10.2256814544973,9.47529424155931,9.59082841722733,10.4153021909442,10.5434893705202,11.1503455479098,11.4817607447114,14.2225485346158,9.6088573003697,9.02554655080144,9.865183236939,9.10533814145893,6.77062782210462
PFLU_0008,123.622977309428,124.570434615004,137.2124592722,112.541864315412,128.234641776252,122.543466634989,125.292084175557,118.393057580431,142.057063606665,123.672764583976,136.295785506618,122.567628404681,143.499703299969,122.256977091826,144.361017125474,156.647513298842,143.038644719309,118.608052446087,126.1600294596,143.896490736614,129.268026666969,127.767936017061,171.205061480564,88.7720817201214,128.517785484382,158.129287404032,133.693567396686,114.605267831962,116.664098760859,129.876624173539
PFLU_0009,166.137847952917,191.002345213914,232.399244811271,179.184027661445,156.1795487209,173.161332093939,195.22005256239,193.947143586861,182.832690088577,179.784264101181,171.557664211502,183.622882668097,201.232699486218,157.934242154854,179.175812116443,186.114734354345,194.608016605743,188.028492188043,203.120354288332,249.096120522328,185.431176973784,213.697812338516,238.753460942165,195.28010598956,174.204449330584,232.333148365465,176.784878785061,218.588364313486,217.388826043269,220.200485637789
PFLU_0010,103.986763257019,125.269148881073,178.857640671355,128.032670374591,115.637297474339,133.665153611724,147.913042034014,125.450280546489,120.249329066867,133.010051411087,142.587890060889,142.681059521282,177.151895266848,141.976283200395,122.359867004727,131.342073156085,129.102708226823,135.460956410775,172.165332532765,208.759176193114,133.13945789153,146.974815598002,178.533198387829,184.067698116634,121.937277005971,137.276677033284,144.851394062586,181.914144952811,176.678354924749,160.755461165999
