exp_rep,tc_rep,plasmid_pucp,plasmid_pq,timepoint,dilution,spread,count_white,count_blue
c,C,no insert,pQBR57,end,6,40,123,189
c,C,par,none,end,6,40,137,258
c,C,par,pQBR57,end,6,40,166,146
d,A,no pUCP18,none,end,6,40,146,142
d,A,no pUCP18,pQBR57,end,6,40,74,114
d,A,no insert,none,end,6,40,109,136
d,A,no insert,pQBR57,end,6,40,73,188
d,A,par,none,end,6,40,110,153
d,A,par,pQBR57,end,6,40,133,161
d,B,no pUCP18,none,end,6,40,97,109
d,B,no pUCP18,pQBR57,end,6,40,59,132
d,B,no insert,none,end,6,40,83,137
d,B,no insert,pQBR57,end,6,40,78,123
d,B,par,none,end,6,40,77,133
d,B,par,pQBR57,end,6,40,115,137
d,C,no pUCP18,none,end,6,40,164,154
d,C,no pUCP18,pQBR57,end,6,40,100,205
d,C,no insert,none,end,6,40,142,170
d,C,no insert,pQBR57,end,6,40,85,158
d,C,par,none,end,6,40,107,178
d,C,par,pQBR57,end,6,40,269,239
