exp,well,cycle,time,t_rep,exp_rep,pME6032,IPTG,OD600_corr
3,H10,45,39596.714,C,b,PFLU_0054,0,0.583875
3,H10,46,40496.667,C,b,PFLU_0054,0,0.6240749999999999
3,H10,47,41396.624,C,b,PFLU_0054,0,0.644875
3,H10,48,42296.542,C,b,PFLU_0054,0,0.669575
3,H10,49,43196.523,C,b,PFLU_0054,0,0.7036749999999999
3,H10,50,44096.442,C,b,PFLU_0054,0,0.707575
3,H10,51,44996.388,C,b,PFLU_0054,0,0.734675
3,H10,52,45896.355,C,b,PFLU_0054,0,0.755575
3,H10,53,46796.287,C,b,PFLU_0054,0,0.775475
3,H10,54,47696.236,C,b,PFLU_0054,0,0.7963749999999999
3,H10,55,48596.171,C,b,PFLU_0054,0,0.808875
3,H10,56,49496.107,C,b,PFLU_0054,0,0.818775
3,H10,57,50396.048,C,b,PFLU_0054,0,0.854375
3,H10,58,51296.007,C,b,PFLU_0054,0,0.8740749999999999
3,H10,59,52195.927,C,b,PFLU_0054,0,0.889275
3,H10,60,53095.878,C,b,PFLU_0054,0,0.910675
3,H10,61,53995.833,C,b,PFLU_0054,0,0.9235749999999999
3,H10,62,54895.769,C,b,PFLU_0054,0,0.946875
3,H10,63,55795.724,C,b,PFLU_0054,0,0.9663749999999999
