replicate,donor,plasmid,recipient,timepoint,dilution,spread,count_donor,count_recipient
c,delta_gacS,pQBR57_V100A,Pp,end_DR,6,50,41,72
c,delta_PFLU4242,pQBR57_anc,Pf,end_DR,6,50,146,146
c,delta_PFLU4242,pQBR57_anc,Pp,end_DR,6,50,104,93
c,delta_PFLU4242,pQBR57_V100A,Pf,end_DR,6,50,145,148
c,delta_PFLU4242,pQBR57_V100A,Pp,end_DR,6,50,83,89
c,wild-type,pQBR57_anc,Pf,end_T,5,50,0,102
c,wild-type,pQBR57_anc,Pp,end_T,2,50,0,232
c,wild-type,pQBR57_V100A,Pf,end_T,5,50,0,117
c,wild-type,pQBR57_V100A,Pp,end_T,2,50,0,297
c,delta_gacS,pQBR57_anc,Pf,end_T,5,50,0,1
c,delta_gacS,pQBR57_anc,Pp,end_T,2,50,0,7
c,delta_gacS,pQBR57_V100A,Pf,end_T,5,50,0,9
c,delta_gacS,pQBR57_V100A,Pp,end_T,2,50,0,14
c,delta_PFLU4242,pQBR57_anc,Pf,end_T,5,50,0,206
c,delta_PFLU4242,pQBR57_anc,Pp,end_T,2,50,0,391
c,delta_PFLU4242,pQBR57_V100A,Pf,end_T,5,50,0,116
c,delta_PFLU4242,pQBR57_V100A,Pp,end_T,2,50,0,369
d,wild-type,pQBR57_anc,NA,start_donor,6,60,255,0
d,wild-type,pQBR57_V100A,NA,start_donor,6,60,148,0
d,delta_gacS,pQBR57_anc,NA,start_donor,6,60,149,0
d,delta_gacS,pQBR57_V100A,NA,start_donor,6,60,128,0
d,delta_PFLU4242,pQBR57_anc,NA,start_donor,6,60,216,0
d,delta_PFLU4242,pQBR57_V100A,NA,start_donor,6,60,197,0
d,NA,NA,Pf,start_pf_recipient,6,60,0,184
d,NA,NA,Pp,start_pp_recipient,5,60,0,481
d,wild-type,pQBR57_anc,Pf,end_DR,6,50,123,241
d,wild-type,pQBR57_anc,Pp,end_DR,6,50,52,113
d,wild-type,pQBR57_V100A,Pf,end_DR,6,50,153,167
d,wild-type,pQBR57_V100A,Pp,end_DR,6,50,85,127
d,delta_gacS,pQBR57_anc,Pf,end_DR,6,50,118,186
d,delta_gacS,pQBR57_anc,Pp,end_DR,6,50,83,154
d,delta_gacS,pQBR57_V100A,Pf,end_DR,6,50,96,159
d,delta_gacS,pQBR57_V100A,Pp,end_DR,6,50,75,169
d,delta_PFLU4242,pQBR57_anc,Pf,end_DR,6,50,142,138
d,delta_PFLU4242,pQBR57_anc,Pp,end_DR,6,50,85,105
d,delta_PFLU4242,pQBR57_V100A,Pf,end_DR,6,50,132,115
d,delta_PFLU4242,pQBR57_V100A,Pp,end_DR,6,50,69,99
d,wild-type,pQBR57_anc,Pf,end_T,5,50,0,93
d,wild-type,pQBR57_anc,Pp,end_T,2,50,0,238
d,wild-type,pQBR57_V100A,Pf,end_T,5,50,0,146
d,wild-type,pQBR57_V100A,Pp,end_T,2,50,0,251
d,delta_gacS,pQBR57_anc,Pf,end_T,5,50,0,6
d,delta_gacS,pQBR57_anc,Pp,end_T,2,50,0,45
d,delta_gacS,pQBR57_V100A,Pf,end_T,5,50,0,10
d,delta_gacS,pQBR57_V100A,Pp,end_T,2,50,0,56
d,delta_PFLU4242,pQBR57_anc,Pf,end_T,5,50,0,144
d,delta_PFLU4242,pQBR57_anc,Pp,end_T,2,50,0,357
d,delta_PFLU4242,pQBR57_V100A,Pf,end_T,5,50,0,175
d,delta_PFLU4242,pQBR57_V100A,Pp,end_T,2,50,0,719
