exp_rep,tc_rep,plasmid_pucp,plasmid_pq,timepoint,dilution,spread,count_white,count_blue
c,A,no pUCP18,pQBR57_anc,start,6,60,202,181
c,A,no pUCP18,pQBR57_V100A,start,6,60,176,179
c,A,empty,no pQBR57,start,6,60,143,142
c,A,empty,pQBR57_anc,start,6,60,136,190
c,A,empty,pQBR57_V100A,start,6,60,161,242
c,A,ancestral,no pQBR57,start,6,60,172,142
c,A,ancestral,pQBR57_anc,start,6,60,123,170
c,A,ancestral,pQBR57_V100A,start,6,60,143,193
c,A,V100A,no pQBR57,start,6,60,148,156
c,A,V100A,pQBR57_anc,start,6,60,133,158
c,A,V100A,pQBR57_V100A,start,6,60,126,155
c,B,no pUCP18,no pQBR57,start,6,60,198,160
c,B,no pUCP18,pQBR57_anc,start,6,60,159,144
c,B,no pUCP18,pQBR57_V100A,start,6,60,178,146
c,B,empty,no pQBR57,start,6,60,140,140
c,B,empty,pQBR57_anc,start,6,60,101,129
c,B,empty,pQBR57_V100A,start,6,60,134,143
c,B,ancestral,no pQBR57,start,6,60,183,128
c,B,ancestral,pQBR57_anc,start,6,60,160,118
c,B,ancestral,pQBR57_V100A,start,6,60,168,155
c,B,V100A,no pQBR57,start,6,60,206,168
c,B,V100A,pQBR57_anc,start,6,60,146,138
c,B,V100A,pQBR57_V100A,start,6,60,97,126
c,C,no pUCP18,no pQBR57,start,6,60,121,86
c,C,no pUCP18,pQBR57_anc,start,6,60,89,77
c,C,no pUCP18,pQBR57_V100A,start,6,60,73,86
c,C,empty,no pQBR57,start,6,60,115,53
c,C,empty,pQBR57_anc,start,6,60,112,111
c,C,empty,pQBR57_V100A,start,6,60,79,80
c,C,ancestral,no pQBR57,start,6,60,128,114
c,C,ancestral,pQBR57_anc,start,6,60,72,78
c,C,ancestral,pQBR57_V100A,start,6,60,78,108
c,C,V100A,no pQBR57,start,6,60,136,78
c,C,V100A,pQBR57_anc,start,6,60,52,85
c,C,V100A,pQBR57_V100A,start,6,60,57,94
d,A,no pUCP18,no pQBR57,start,6,60,163,108
d,A,no pUCP18,pQBR57_anc,start,6,60,145,140
d,A,no pUCP18,pQBR57_V100A,start,6,60,128,114
d,A,empty,no pQBR57,start,6,60,117,125
d,A,empty,pQBR57_anc,start,6,60,104,124
d,A,empty,pQBR57_V100A,start,6,60,106,108
d,A,ancestral,no pQBR57,start,6,60,122,130
d,A,ancestral,pQBR57_anc,start,6,60,78,135
d,A,ancestral,pQBR57_V100A,start,6,60,76,92
d,A,V100A,no pQBR57,start,6,60,100,95
d,A,V100A,pQBR57_anc,start,6,60,107,124
d,A,V100A,pQBR57_V100A,start,6,60,66,64
d,B,no pUCP18,no pQBR57,start,6,60,130,114
d,B,no pUCP18,pQBR57_anc,start,6,60,101,120
d,B,no pUCP18,pQBR57_V100A,start,6,60,84,106
d,B,empty,no pQBR57,start,6,60,129,140
d,B,empty,pQBR57_anc,start,6,60,129,132
d,B,empty,pQBR57_V100A,start,6,60,88,120
d,B,ancestral,no pQBR57,start,6,60,68,131
d,B,ancestral,pQBR57_anc,start,6,60,56,103
d,B,ancestral,pQBR57_V100A,start,6,60,110,156
d,B,V100A,no pQBR57,start,6,60,137,127
d,B,V100A,pQBR57_anc,start,6,60,63,109
d,B,V100A,pQBR57_V100A,start,6,60,82,118
d,C,no pUCP18,no pQBR57,start,6,60,165,137
d,C,no pUCP18,pQBR57_anc,start,6,60,131,133
d,C,no pUCP18,pQBR57_V100A,start,6,60,131,123
d,C,empty,no pQBR57,start,6,60,101,159
d,C,empty,pQBR57_anc,start,6,60,89,142
d,C,empty,pQBR57_V100A,start,6,60,108,160
d,C,ancestral,no pQBR57,start,6,60,119,133
d,C,ancestral,pQBR57_anc,start,6,60,93,126
d,C,ancestral,pQBR57_V100A,start,6,60,93,142
d,C,V100A,no pQBR57,start,6,60,87,135
d,C,V100A,pQBR57_anc,start,6,60,79,127
d,C,V100A,pQBR57_V100A,start,6,60,92,148
